citation_event_id,run_id,url,eligibility_score,evidence_json
1,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/""}"
2,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/auto-body,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/auto-body""}"
3,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/dentists,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/dentists""}"
6,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/foundation-repair,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/foundation-repair""}"
7,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/hvac,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/hvac""}"
8,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights""}"
11,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/builder-incentives,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/builder-incentives""}"
12,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/case-study,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/case-study""}"
13,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/data-maturity,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/data-maturity""}"
16,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/map-pack-playbook,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/map-pack-playbook""}"
17,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/recruiting,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/recruiting""}"
18,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/site-speed,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/site-speed""}"
21,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/smb-guide,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/smb-guide""}"
22,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/texas-cost-stack,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/texas-cost-stack""}"
23,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/texas-market-2026,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/texas-market-2026""}"
26,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/texas-seo,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/texas-seo""}"
27,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/video-strategy,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/video-strategy""}"
28,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/lawyers,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/lawyers""}"
31,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/med-spas,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/med-spas""}"
32,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/orthodontists,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/orthodontists""}"
33,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/plumbers,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/plumbers""}"
36,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/privacy,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/privacy""}"
37,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/sitemap.xml,88,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/sitemap.xml""}"
38,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/sitemap.xml.gz,88,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/sitemap.xml.gz""}"
41,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/sitemap_index.xml,88,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/sitemap_index.xml""}"
42,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/smbs,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/smbs""}"
43,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/terms,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/terms""}"
46,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/vets,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/vets""}"
39,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://www.void-agency.com/""}"
25,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/auto-body,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://www.void-agency.com/auto-body""}"
10,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/dentists,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://www.void-agency.com/dentists""}"
20,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/foundation-repair,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://www.void-agency.com/foundation-repair""}"
14,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/hvac,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://www.void-agency.com/hvac""}"
5,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://www.void-agency.com/insights""}"
49,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights/builder-incentives,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://www.void-agency.com/insights/builder-incentives""}"
34,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights/case-study,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://www.void-agency.com/insights/case-study""}"
35,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights/data-maturity,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://www.void-agency.com/insights/data-maturity""}"
45,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights/map-pack-playbook,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://www.void-agency.com/insights/map-pack-playbook""}"
53,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights/recruiting,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://www.void-agency.com/insights/recruiting""}"
47,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights/site-speed,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://www.void-agency.com/insights/site-speed""}"
30,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights/smb-guide,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://www.void-agency.com/insights/smb-guide""}"
50,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights/texas-cost-stack,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://www.void-agency.com/insights/texas-cost-stack""}"
51,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights/texas-market-2026,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://www.void-agency.com/insights/texas-market-2026""}"
52,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights/texas-seo,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://www.void-agency.com/insights/texas-seo""}"
54,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights/video-strategy,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://www.void-agency.com/insights/video-strategy""}"
57,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights?topic=Growth,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://www.void-agency.com/insights?topic=Growth""}"
55,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights?topic=Local+SEO,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://www.void-agency.com/insights?topic=Local+SEO""}"
