ai_visibility_event_id,run_id,url,potential_score,visibility_json
1,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
2,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/auto-body,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/auto-body""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
3,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/dentists,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/dentists""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
6,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/foundation-repair,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/foundation-repair""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
7,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/hvac,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/hvac""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
8,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
11,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights/builder-incentives,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/builder-incentives""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
12,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights/case-study,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/case-study""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
13,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights/data-maturity,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/data-maturity""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
16,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights/map-pack-playbook,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/map-pack-playbook""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
17,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights/recruiting,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/recruiting""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
