link_id,run_id,source_url,target_url,normalized_target_url,is_internal,anchor_text,nofollow_flag,source_context,dom_region
1,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/,/smbs,https://www.void-agency.com/smbs,1,VOID( CONSULTING ),0,render_dom,nav
2,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/,/smbs#process,https://www.void-agency.com/smbs,1,Process,0,render_dom,nav
3,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/,/smbs#offers,https://www.void-agency.com/smbs,1,Pricing,0,render_dom,nav
4,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/,/smbs#about,https://www.void-agency.com/smbs,1,About,0,render_dom,nav
5,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/,/smbs#contact,https://www.void-agency.com/smbs,1,Contact,0,render_dom,nav
6,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/,/insights,https://www.void-agency.com/insights,1,Insights,0,render_dom,nav
7,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/,/plumbers,https://www.void-agency.com/plumbers,1,Web design for plumbers,0,render_dom,main
8,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/,/dentists,https://www.void-agency.com/dentists,1,Dental website design,0,render_dom,main
9,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/,/hvac,https://www.void-agency.com/hvac,1,HVAC websites,0,render_dom,main
10,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/,/orthodontists,https://www.void-agency.com/orthodontists,1,Orthodontist website design,0,render_dom,main
11,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/,/lawyers,https://www.void-agency.com/lawyers,1,Lawyer website design,0,render_dom,main
12,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/,/foundation-repair,https://www.void-agency.com/foundation-repair,1,Foundation repair websites,0,render_dom,main
13,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/,/med-spas,https://www.void-agency.com/med-spas,1,Med spa website design,0,render_dom,main
14,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/,/auto-body,https://www.void-agency.com/auto-body,1,Auto body shop websites,0,render_dom,main
15,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/,/vets,https://www.void-agency.com/vets,1,Veterinary website design,0,render_dom,main
